,null_count,null_ratio_percent
director,720,13.91
production_company,239,4.62
genre,90,1.74
distributor_meta,6,0.12
movie_id,5,0.1
rating,5,0.1
distributor_boxoffice,1,0.02
distributor_final,1,0.02
movie_name,0,0.0
open_date,0,0.0
rep_nation,0,0.0
nation,0,0.0
total_sales_amount,0,0.0
total_audience_count,0,0.0
screen_count_peak,0,0.0
show_count_total,0,0.0
sales_share_peak,0,0.0
boxoffice_year_count,0,0.0
boxoffice_years,0,0.0
match_status,0,0.0
match_strategy,0,0.0
open_year,0,0.0
open_month,0,0.0
genre_main,0,0.0
