movie_name,open_date,total_sales_amount,total_audience_count,screen_count_peak,show_count_total,sales_share_peak,rep_nation,nation,distributor_boxoffice,boxoffice_year_count,boxoffice_years,match_key
부산행,20160720,93188170548,11567816,1788,151535,0.102,한국,한국,(주)넥스트엔터테인먼트월드(NEW),6,2016|2017|2018|2019|2022|2023,부산행|20160720
검사외전,20160203,77320403264,9707581,1812,153532,0.085,한국,한국,(주)쇼박스,1,2016,검사외전|20160203
밀정,20160907,61270079831,7500457,1444,138162,0.067,한국,"한국,미국",워너브러더스 코리아(주),2,2016|2017,밀정|20160907
터널,20160810,57530903417,7120905,1105,113215,0.063,한국,한국,(주)쇼박스,3,2016|2017|2024,터널|20160810
인천상륙작전,20160727,55118976303,7051866,1049,97041,0.06,한국,한국,(주)씨제이이엔엠,5,2016|2017|2019|2023|2025,인천상륙작전|20160727
럭키,20161013,56445477256,6975647,1234,155993,0.062,한국,한국,(주)쇼박스,4,2016|2017|2019|2024,럭키|20161013
곡성,20160512,55864308382,6879989,1485,130332,0.061,한국,"한국,미국",이십세기폭스코리아(주),2,2016|2017,곡성|20160512
덕혜옹주,20160803,44397248609,5599943,964,97322,0.049,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,4,2016|2017|2018|2019,덕혜옹주|20160803
마스터,20161221,58068236865,7150586,1501,126927,0.044000000000000004,한국,한국,(주)씨제이이엔엠,2,2016|2017,마스터|20161221
판도라,20161207,36069197064,4585116,1184,100273,0.037000000000000005,한국,한국,(주)넥스트엔터테인먼트월드(NEW),4,2016|2017|2018|2019,판도라|20161207
아가씨,20160601,35231232891,4290051,1171,90490,0.039,한국,한국,(주)씨제이이엔엠,7,2016|2017|2018|2019|2020|2024|2025,아가씨|20160601
귀향,20160224,27251331990,3587356,876,90291,0.03,한국,한국,(주)와우픽쳐스,5,2016|2017|2019|2022|2025,귀향|20160224
형,20161123,23133206693,2982514,993,83599,0.025,한국,한국,(주)씨제이이엔엠,4,2016|2017|2018|2019,형|20161123
아수라,20160928,20584694662,2594943,1278,68071,0.023,한국,한국,(주)씨제이이엔엠,7,2016|2017|2018|2019|2020|2022|2023,아수라|20160928
굿바이 싱글,20160629,16913282195,2108561,841,56390,0.019,한국,한국,(주)쇼박스,2,2016|2017,굿바이 싱글|20160629
봉이 김선달,20160706,16227846642,2051386,942,51427,0.018000000000000002,한국,한국,(주)씨제이이엔엠,2,2016|2018,봉이 김선달|20160706
탐정 홍길동: 사라진 마을,20160504,11516920845,1430960,764,41077,0.013000000000000001,한국,한국,(주)씨제이이엔엠,2,2016|2019,탐정 홍길동: 사라진 마을|20160504
특별수사: 사형수의 편지,20160616,9932284065,1243065,691,39389,0.011000000000000001,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2,2016|2017,특별수사: 사형수의 편지|20160616
시간이탈자,20160413,9732600195,1202511,733,55076,0.011000000000000001,한국,한국,(주)씨제이이엔엠,2,2016|2019,시간이탈자|20160413
동주,20160217,8930689603,1178054,543,40217,0.01,한국,한국,메가박스중앙(주) 플러스엠 엔터테인먼트,9,2016|2017|2018|2019|2020|2021|2022|2023|2025,동주|20160217
미씽: 사라진 여자,20161130,8882181256,1153201,790,40625,0.01,한국,한국,메가박스중앙(주) 플러스엠 엔터테인먼트,2,2016|2017,미씽: 사라진 여자|20161130
"당신, 거기 있어줄래요",20161214,9362499928,1168827,767,41418,0.01,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,4,2016|2017|2018|2021,"당신, 거기 있어줄래요|20161214"
오빠생각,20160121,8063413287,1070232,855,44805,0.009000000000000001,한국,한국,(주)넥스트엔터테인먼트월드(NEW),3,2016|2024|2025,오빠생각|20160121
"날, 보러와요",20160407,8836144063,1063442,683,49237,0.01,한국,한국,메가박스중앙(주) 플러스엠 엔터테인먼트,1,2016,"날, 보러와요|20160407"
"고산자, 대동여지도",20160907,7801727258,974352,765,38049,0.009000000000000001,한국,한국,(주)씨제이이엔엠,2,2016|2024,"고산자, 대동여지도|20160907"
좋아해줘,20160217,6575423337,848395,637,27127,0.006999999999999999,한국,한국,(주)씨제이이엔엠,2,2016|2021,좋아해줘|20160217
스플릿,20161109,6102712539,758195,702,32618,0.006999999999999999,한국,한국,오퍼스픽쳐스(유),2,2016|2017,스플릿|20161109
국가대표 2,20160810,5485219042,710316,562,20693,0.006,한국,한국,메가박스중앙(주) 플러스엠 엔터테인먼트,4,2016|2017|2019|2021,국가대표 2|20160810
그날의 분위기,20160114,5149571612,653287,592,27186,0.006,한국,한국,(주)쇼박스,1,2016,그날의 분위기|20160114
사냥,20160629,4912658515,645922,696,28862,0.005,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,1,2016,사냥|20160629
널 기다리며,20160310,5234303336,635235,551,33774,0.006,한국,한국,(주)넥스트엔터테인먼트월드(NEW),1,2016,널 기다리며|20160310
가려진 시간,20161116,3948158400,511369,884,30417,0.004,한국,한국,(주)쇼박스,3,2016|2017|2018,가려진 시간|20161116
해어화,20160413,3768200759,485695,572,32322,0.004,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,1,2016,해어화|20160413
계춘할망,20160519,3603985348,482951,526,19655,0.004,한국,한국,(주)콘텐츠지오,4,2016|2017|2022|2024,계춘할망|20160519
"로봇, 소리",20160127,3519595560,476665,609,25502,0.004,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,1,2016,"로봇, 소리|20160127"
나를 잊지 말아요,20160107,3398915000,425799,559,19138,0.004,한국,한국,(주)씨제이이엔엠,1,2016,나를 잊지 말아요|20160107
위대한 소원,20160421,2440004213,308398,524,22769,0.003,한국,한국,(주)넥스트엔터테인먼트월드(NEW),1,2016,위대한 소원|20160421
혼숨,20161026,2258422445,288016,498,14510,0.002,한국,한국,(주)프레인글로벌,1,2016,혼숨|20161026
극장판 안녕 자두야,20160504,2139119500,280656,523,7788,0.002,한국,한국,(주)씨제이이엔엠,3,2016|2017|2019,극장판 안녕 자두야|20160504
비밀은 없다,20160623,2030523239,250975,502,14761,0.002,한국,한국,(주)씨제이이엔엠,5,2016|2017|2018|2020|2024,비밀은 없다|20160623
순정,20160224,1739966633,240704,467,10557,0.002,한국,한국,(주)리틀빅픽쳐스,4,2016|2017|2018|2020,순정|20160224
남과 여,20160225,1651122533,203775,449,9790,0.002,한국,한국,(주)쇼박스,1,2016,남과 여|20160225
대배우,20160330,1246200228,169984,474,16517,0.001,한국,한국,"(주)대명문화공장,(주)리틀빅픽쳐스",1,2016,대배우|20160330
달빛궁궐,20160907,1148884700,153273,425,6086,0.001,한국,한국,(주)넥스트엔터테인먼트월드(NEW),3,2016|2017|2018,달빛궁궐|20160907
극장판 꼬마버스 타요의 에이스 구출작전,20160121,906299900,135478,200,5397,0.001,한국,한국,(주)아이코닉스,2,2016|2017,극장판 꼬마버스 타요의 에이스 구출작전|20160121
최강전사 미니특공대: 영웅의 탄생,20160204,879289200,117446,349,4914,0.001,한국,한국,(주)에스에이엠지엔터테인먼트,3,2016|2017|2018,최강전사 미니특공대: 영웅의 탄생|20160204
무서운 이야기 3 : 화성에서 온 소녀,20160601,784148500,97804,317,6407,0.001,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,1,2016,무서운 이야기 3 : 화성에서 온 소녀|20160601
걷기왕,20161020,712470075,95797,462,10494,0.001,한국,한국,CGV아트하우스,5,2016|2018|2020|2021|2023,걷기왕|20161020
일사각오,20160317,682697500,94825,66,2708,0.001,한국,한국,파이오니아21,3,2016|2017|2018,일사각오|20160317
엽기적인 그녀 2,20160512,594260900,77124,387,6132,0.001,한국,한국,(주)리틀빅픽쳐스,1,2016,엽기적인 그녀 2|20160512
번개맨,20160211,517127000,69363,393,4644,0.001,한국,한국,(주)키다리이엔티,1,2016,번개맨|20160211
