boxoffice_year,rank,movie_name,open_date,sales_amount,sales_share,audience_count,screen_count,show_count,rep_nation,nation,distributor_boxoffice,match_key,source_file
2016,1,부산행,20160720,93178283048,0.102,11565479,1788,151315,한국,한국,(주)넥스트엔터테인먼트월드(NEW),부산행|20160720,kobis_boxoffice_yearly_2016.xls
2016,2,검사외전,20160203,77320403264,0.085,9707581,1812,153532,한국,한국,(주)쇼박스,검사외전|20160203,kobis_boxoffice_yearly_2016.xls
2016,3,밀정,20160907,61269783831,0.067,7500420,1444,138161,한국,"한국,미국",워너브러더스 코리아(주),밀정|20160907,kobis_boxoffice_yearly_2016.xls
2016,4,터널,20160810,57529484417,0.063,7120508,1105,113201,한국,한국,(주)쇼박스,터널|20160810,kobis_boxoffice_yearly_2016.xls
2016,5,인천상륙작전,20160727,55101410303,0.06,7049643,1049,97019,한국,한국,(주)씨제이이엔엠,인천상륙작전|20160727,kobis_boxoffice_yearly_2016.xls
2016,6,럭키,20161013,56444461256,0.062,6975290,1234,155977,한국,한국,(주)쇼박스,럭키|20161013,kobis_boxoffice_yearly_2016.xls
2016,7,곡성,20160512,55863520382,0.061,6879908,1485,130322,한국,"한국,미국",이십세기폭스코리아(주),곡성|20160512,kobis_boxoffice_yearly_2016.xls
2016,8,덕혜옹주,20160803,44393459109,0.049,5599177,964,97307,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,덕혜옹주|20160803,kobis_boxoffice_yearly_2016.xls
2016,9,마스터,20161221,39784641065,0.044000000000000004,4935320,1501,70786,한국,한국,(주)씨제이이엔엠,마스터|20161221,kobis_boxoffice_yearly_2016.xls
2016,10,판도라,20161207,33955398164,0.037000000000000005,4313864,1184,90758,한국,한국,(주)넥스트엔터테인먼트월드(NEW),판도라|20161207,kobis_boxoffice_yearly_2016.xls
2016,11,아가씨,20160601,35211229991,0.039,4287839,1171,90365,한국,한국,(주)씨제이이엔엠,아가씨|20160601,kobis_boxoffice_yearly_2016.xls
