movie_name,open_date,distributor_boxoffice,boxoffice_years
히말라야,20151216,(주)씨제이이엔엠,2016|2025
내부자들: 디 오리지널,20151231,(주)쇼박스,2016|2019|2025
조선마술사,20151230,롯데쇼핑㈜롯데엔터테인먼트,2016
대호,20151216,(주)넥스트엔터테인먼트월드(NEW),2016
뽀로로 극장판 컴퓨터 왕국 대모험,20151210,(주)넥스트엔터테인먼트월드(NEW),2016|2017
내부자들,20151119,(주)쇼박스,2016|2019|2020
살인의 추억,20030425,씨제이엔터테인먼트,2016|2017|2018|2019|2020|2022|2023|2025
와룡선생 상경기,,,2016|2017|2019|2022|2024
마포사는 황부자,,,2016|2017
미워도 다시 한번 '80,19800621,,2016|2017
협객 김두한,19750605,,2016|2019|2020|2021
하얀 까마귀,,,2016|2017
어느 여대생의 고백,,,2016|2017|2018|2021|2022|2023
파란 이별의 글씨,,,2016|2022
내시,,,2016|2017|2018|2020|2021|2022
아 백범 김구선생,,,2016|2017|2019|2023
강화도령,,,2016|2017|2019|2020|2021|2025
미워도 다시 한번 3,19700101,,2016|2017
원점,,,2016|2017
무영탑,,,2016|2017|2020|2022
하숙생,,,2016
암굴왕,,,2016|2017
땡볕,19850801,,2016
서울의 지붕 밑,,,2016|2017|2018|2019|2020|2022|2023|2024|2025
이조 여인잔혹사,19690502,,2016|2017|2018|2021|2022
헬머니,20150305,(주)넥스트엔터테인먼트월드(NEW),2016
생사투,19740228,,2016
태양은늙지않는다,,,2016
연평해전,20150624,(주)넥스트엔터테인먼트월드(NEW),2016|2017|2020|2021|2022|2023|2024|2025
별아 내 가슴에,19580531,,2016
뷰티 인사이드,20150820,(주)넥스트엔터테인먼트월드(NEW),2016|2017|2018|2019|2020|2021|2023
죽음의 다섯 손가락,19721202,,2016|2018|2019
꿈,19550116,,2016|2019|2024
대결투,19730223,,2016
사도,20150916,(주)쇼박스,2016|2017|2018|2020
극적인 하룻밤,20151203,CGV아트하우스,2016
철낭자,19710430,,2016|2020
백사부인,19601002,,2016|2017|2019|2021
왕자 호동,,,2016|2017|2018|2019|2021|2022|2023|2024
너는 내 운명,19800328,,2016|2017
독립협회와 청년 이승만,,,2016|2019|2023
"1789, 바스티유의 연인들",20140918,유니버설픽쳐스인터내셔널 코리아(유),2016|2017
암살,20150722,(주)쇼박스,2016|2017|2018|2019|2020|2022|2023|2024|2025
렌의 애가,19690101,,2016|2017
