"순위","영화명","개봉일","매출액","매출액 점유율","관객수","스크린수","상영횟수","대표국적","국적","배급사"
"1","택시운전사","2017-08-02","95853645649","0.10800000000000001","12186327","1906","184075","한국","한국","(주)쇼박스"
"2","신과함께-죄와 벌","2017-12-20","68350496432","0.077","8539495","1912","91301","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"3","공조","2017-01-18","63783051326","0.07200000000000001","7817618","1392","142989","한국","한국","(주)씨제이이엔엠"
"4","범죄도시","2017-10-03","56318014149","0.064","6879841","1315","149334","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트,(주)키위미디어그룹"
"5","군함도","2017-07-26","50510565168","0.057","6592151","2027","108775","한국","한국","(주)씨제이이엔엠"
"6","청년경찰","2017-08-09","44381150516","0.05","5653270","1102","118544","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"7","더 킹","2017-01-18","43488814535","0.049","5317693","1310","107983","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"8","꾼","2017-11-22","31312029795","0.035","4018035","1314","117398","한국","한국","(주)쇼박스"
"9","강철비","2017-12-14","31994897566","0.036000000000000004","4014293","1426","66760","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"10","남한산성","2017-10-03","31225083792","0.035","3849087","1229","71101","한국","한국","(주)씨제이이엔엠"
"11","아이 캔 스피크","2017-09-21","25526451186","0.028999999999999998","3279296","1140","93012","한국","한국","(주)마노엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
"12","프리즌","2017-03-23","23790276987","0.027000000000000003","2931897","1047","89024","한국","한국","(주)쇼박스"
"13","살인자의 기억법","2017-09-06","21375287492","0.024","2658589","1064","88686","한국","한국","(주)쇼박스"
"14","보안관","2017-05-03","20844488409","0.024","2588628","1091","63709","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"15","조작된 도시","2017-02-09","20143992587","0.023","2515501","1019","62241","한국","한국","(주)씨제이이엔엠"
"16","재심","2017-02-15","19266319637","0.022000000000000002","2421197","935","68402","한국","한국","오퍼스픽쳐스(유),CGV아트하우스"
"17","박열","2017-06-28","18093639795","0.02","2359206","1176","78499","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"18","마스터","2016-12-21","18283595800","0.021","2215266","1245","56141","한국","한국","(주)씨제이이엔엠"
"19","1987","2017-12-27","15254004037","0.017","1942077","1299","27619","한국","한국","(주)씨제이이엔엠"
"20","노무현입니다","2017-05-25","14556517612","0.016","1855149","775","61327","한국","한국","CGV아트하우스,영화사 풀"
"21","임금님의 사건수첩","2017-04-26","12651193723","0.013999999999999999","1635003","1054","53005","한국","한국","(주)씨제이이엔엠"
"22","부라더","2017-11-02","11783109998","0.013000000000000001","1492903","889","54975","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"23","기억의 밤","2017-11-29","10646654660","0.012","1386611","759","52847","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트,주식회사 키위컴퍼니"
"24","브이아이피","2017-08-23","10956621835","0.012","1373316","996","44650","한국","한국","워너브러더스 코리아(주)"
"25","특별시민","2017-04-26","10494768945","0.012","1362634","1154","46377","한국","한국","(주)쇼박스"
"26","장산범","2017-08-17","10341783083","0.012","1306438","711","34768","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"27","악녀","2017-06-08","9739662144","0.011000000000000001","1208081","685","46070","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"28","해빙","2017-03-01","9905406822","0.011000000000000001","1204600","915","46227","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"29","하루","2017-06-15","9072737842","0.01","1129609","781","45808","한국","한국","CGV아트하우스"
"30","불한당: 나쁜 놈들의 세상","2017-05-17","7587004625","0.009000000000000001","939535","860","37913","한국","한국","(주)씨제이이엔엠"
"31","대립군","2017-05-31","6276963402","0.006999999999999999","837500","809","29084","한국","한국","이십세기폭스코리아(주)"
"32","뽀로로 극장판 공룡섬 대모험","2017-12-07","5848888600","0.006999999999999999","773743","803","18226","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"33","아빠는 딸","2017-04-12","5054757395","0.0060","647305","586","33263","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"34","침묵","2017-11-02","3930219264","0.0040","494097","634","23228","한국","한국","(주)씨제이이엔엠"
"35","리얼","2017-06-28","3357312530","0.0040","470105","970","25139","한국","한국","(주)씨제이이엔엠"
"36","반드시 잡는다","2017-11-29","3326439772","0.0040","446780","565","24559","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"37","원라인","2017-03-29","3319035433","0.0040","435048","613","20788","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"38","넛잡 2","2017-10-03","3069388100","0.0030","411787","526","10449","한국","한국,캐나다,중국","롯데쇼핑㈜롯데엔터테인먼트"
"39","보통사람","2017-03-23","2956397623","0.0030","383336","621","19928","한국","한국","오퍼스픽쳐스(유)"
"40","대장 김창수","2017-10-19","2879121115","0.0030","381483","748","21744","한국","한국","(주)키다리이엔티,주식회사 키위컴퍼니"
"41","석조저택 살인사건","2017-05-09","2829106886","0.0030","353517","539","17925","한국","한국","(주)키다리이엔티"
"42","싱글라이더","2017-02-22","2685519021","0.0030","351276","576","16746","한국","한국","워너브러더스 코리아(주)"
"43","7호실","2017-11-15","2677284639","0.0030","347790","629","21846","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"44","사랑하기 때문에","2017-01-04","2538805440","0.0030","324526","542","15214","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"45","희생부활자","2017-10-12","2515479835","0.0030","323628","781","23596","한국","한국","(주)쇼박스"
"46","판도라","2016-12-07","2111772900","0.0020","270936","576","9512","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"47","미옥","2017-11-09","1897705564","0.0020","238587","635","18099","한국","한국","(주)키다리이엔티"
"48","어느날","2017-04-05","1846581582","0.0020","234829","532","17748","한국","한국","오퍼스픽쳐스(유),CGV아트하우스"
"49","채비","2017-11-09","1260467864","0.0010","177428","480","9981","한국","한국","오퍼스픽쳐스(유)"
"50","비정규직 특수요원","2017-03-16","1150732700","0.0010","149719","497","11132","한국","한국","(주)이수C&E,(주)스톰픽쳐스코리아"
"51","극장판 또봇: 로봇군단의 습격","2017-04-27","1090835800","0.0010","141865","231","3905","한국","한국","(주)씨제이이엔엠"
"52","로마의 휴일","2017-08-30","993321176","0.0010","134827","436","10999","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"53","시간위의 집","2017-04-05","1020724600","0.0010","128975","454","10971","한국","한국","(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니"
"54","루시드 드림","2017-02-22","759481000","0.0010","102170","461","8534","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"
"55","슈퍼 빼꼼: 스파이 대작전","2017-05-03","712385900","0.0010","99693","358","3345","한국","한국","메가박스중앙(주) 플러스엠 엔터테인먼트"
"56","뷰티풀 투모로우","2017-10-26","552273700","0.0010","63279","47","1390","한국","한국","씨제이 씨지브이(CJ CGV)(주)"
"57","그래, 가족","2017-02-15","350293300","0.0","46623","361","5294","한국","한국","월트디즈니컴퍼니코리아 유한책임회사"
"58","당신, 거기 있어줄래요","2016-12-14","362623400","0.0","43925","306","2223","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"
"59","레이디버그","2017-02-22","310291500","0.0","41041","172","2158","한국","한국,프랑스,일본","(주)에스에이엠지엔터테인먼트"
"60","역모-반란의 시대","2017-11-23","218173300","0.0","30116","355","4100","한국","한국","(주)스톰픽쳐스코리아"
"61","파워배틀 와치카: 와치가면의 역습","2017-06-01","166656500","0.0","23630","246","1787","한국","한국","(주)에스에이엠지엔터테인먼트"
"62","이웃집 스타","2017-09-21","78213300","0.0","10854","256","2367","한국","한국","(주)스톰픽쳐스코리아"
"63","노트르담 드 파리","2017-11-01","115659500","0.0","9085","36","843","한국","한국","(주)패뷸러스"
