"영화코드","영화명","개봉일","장르","관람등급","감독","제작사","배급사","국적"
"20241102","홍이","20250924","드라마","12세이상관람가","황슬기","(주)세모시","에무 시네마 앤 카페","한국"
"20250282","환승연애-너 말고 니 친구 무삭제판","20251226","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20250418","금단의 사랑 : 형수, 처제, 제수씨","20251223","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20250088","오르가즘 느끼는 육덕진 새엄마","20251218","성인물(에로)","청소년관람불가","성기만","스마일컨텐츠","스마일컨텐츠","한국"
"20250417","엄마들 : 그녀들의 터질듯한 몸매","20251217","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256321","새엄마가 된 친구엄마","20251217","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20259955","교환섹스 : 발정난 사장아내","20251211","성인물(에로)","청소년관람불가","천성준","에이원 미디어","에이원 미디어","한국"
"20259126","오늘 밤, 너 혼쭐내줄게","20251210","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20259128","여자가 섹스의 맛을 느낄때","20251210","멜로/로맨스","청소년관람불가","","(주)영화사가을","(주)영화사가을","한국"
"20256189","처제의 맛 2","20251201","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20244265","청와대 건너 붉은 벽돌집","20251224","다큐멘터리","12세이상관람가","안소연","","(주)드림팩트엔터테인먼트","한국"
"20213014","영생인","20251224","미스터리|스릴러","15세이상관람가","김상훈","라이픽쳐스","(주)픽처하우스","한국"
"20258374","스와핑 - 첫경험","20251201","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20256248","구멍일기","20251201","성인물(에로)|멜로/로맨스","청소년관람불가","김태수","유한회사 스튜디오루나","유한회사 스튜디오루나","한국"
"20241909","이름에게","20251030","드라마|가족","전체관람가","윤권수","(주)스튜디오메타케이","(주)스튜디오메타케이","한국"
"20250009","오프 더 리포터","20251219","성인물(에로)|드라마","청소년관람불가","선우용","(주)룬컴퍼니","(주)룬컴퍼니","한국"
"20259993","경매의신 ep6 케렌시아","20251219","성인물(에로)|드라마","청소년관람불가","","(주)룬컴퍼니","(주)룬컴퍼니","한국"
"20259035","투 헤븐","20251105","다큐멘터리","전체관람가","김상철","파이오니아21","파이오니아21","한국"
"20246110","고백하지마","20251217","드라마","12세이상관람가","류현경","류네|김충길 필름","류네","한국"
"20253852","퍼스트 라이드","20251029","코미디|드라마","12세이상관람가","남대중","주식회사 브레인샤워|주식회사 티에이치스토리(TH STORY)","(주)쇼박스","한국"
"20250364","이머시브 시네마: 뽀로로 극장판 스위트캐슬 대모험","20251213","애니메이션","전체관람가","천유림","(주)오콘","롯데컬처웍스(주)롯데엔터테인먼트","한국"
"20259133","죽여주는 불륜현장:질 좋은 여자들","20251212","성인물(에로)|드라마|멜로/로맨스","청소년관람불가","이타치","(주)파랑새미디어","(주)영진크리에이티브","한국"
"20250024","블루 아카이브 : 디 오케스트라 인 시네마","20251212","공연","15세이상관람가","조윤수","(주)영화사 그램","롯데컬처웍스(주)롯시플|(주)영화사 그램","한국"
"20258808","뽀로로 극장판 스위트캐슬 대모험","20251211","애니메이션","전체관람가","천유림","(주)오콘","롯데컬처웍스(주)롯데엔터테인먼트|롯데컬처웍스(주)롯데시네마","한국"
"20234689","괜찮아 괜찮아 괜찮아!","20250226","가족|코미디|드라마","12세이상관람가","김혜영","주식회사 투맨필름","(주)바이포엠스튜디오","한국"
