,null_count,null_ratio_percent
director,84,5.85
production_company,41,2.86
genre,16,1.11
movie_id,5,0.35
rating,5,0.35
distributor_meta,5,0.35
movie_name,0,0.0
open_date,0,0.0
distributor_boxoffice,0,0.0
distributor_final,0,0.0
rep_nation,0,0.0
nation,0,0.0
total_sales_amount,0,0.0
total_audience_count,0,0.0
screen_count_peak,0,0.0
show_count_total,0,0.0
sales_share_peak,0,0.0
boxoffice_year_count,0,0.0
boxoffice_years,0,0.0
match_status,0,0.0
match_strategy,0,0.0
open_year,0,0.0
open_month,0,0.0
genre_main,0,0.0
