movie_name,open_date,genre,rating,distributor,worldwide_gross_usd,domestic_gross_usd,foreign_gross_usd,opening_gross_usd,opening_theaters,widest_release_theaters,running_time,release_scale,chart_year,rank
Catching the Sun,"Apr 1, 2016",Documentary|Drama|History|News,,The Film Collaborative,,,,,,14,1 hr 15 min,Limited,2016,1
Chongqing Hot Pot,"Apr 1, 2016",Comedy|Crime|Thriller,,China Lion Film Distribution,,,,201960,20,46,1 hr 34 min,Limited,2016,2
Dongju: The Portrait of a Poet,"Apr 1, 2016",Biography|Drama,,CJ Entertainment,,,,17724,5,5,1 hr 50 min,Limited,2016,3
Francofonia,"Apr 1, 2016",Drama|History,,Music Box Films,,,,22083,2,25,1 hr 28 min,Limited,2016,4
God's Not Dead 2,"Apr 1, 2016",Drama,PG,Pure Flix Entertainment,,,,7623662,2419,2419,2 hr,Wide,2016,5
Ki & Ka,"Apr 1, 2016",Comedy|Romance,,Eros Worldwide,,,,439521,148,148,2 hr 6 min,Limited,2016,6
"Kill Me, Deadly","Apr 1, 2016",Comedy|History|Mystery,,Indican Pictures,,,,11600,2,3,1 hr 40 min,Limited,2016,7
Kill Your Friends,"Apr 1, 2016",Comedy|Crime|Music|Thriller,,Well Go USA Entertainment,,,,,,,1 hr 43 min,Limited,2016,8
Marinoni: The Fire in the Frame,"Apr 1, 2016",Documentary,,First Run,,,,488,2,3,1 hr 30 min,Limited,2016,9
Meet the Blacks,"Apr 1, 2016",Comedy|Horror,R,Freestyle Releasing,,,,4055940,1015,1015,1 hr 34 min,Wide,2016,10
Miles Ahead,"Apr 1, 2016",Biography|Drama|Music|Romance,R,Sony Pictures Classics,,,,114530,4,527,1 hr 40 min,Limited,2016,11
Natural Born Pranksters,"Apr 1, 2016",Comedy,R,Lionsgate,,,,,,,1 hr 30 min,Limited,2016,12
Next Time I'll Aim for the Heart,"Apr 1, 2016",Crime|Drama|Thriller,,Distrib Films,,,,310,1,1,1 hr 51 min,Limited,2016,13
Saturday's Warrior,"Apr 1, 2016",Musical,PG,Purdie Distribution,,,,96041,9,28,2 hr,Limited,2016,14
Sold,"Apr 1, 2016",Drama,PG-13,Matson Films,,,,5070,1,9,1 hr 34 min,Limited,2016,15
Standing Tall,"Apr 1, 2016",Drama,R,Cohen Media Group,,,,7488,2,6,2 hr,Limited,2016,16
The Dark Horse,"Apr 1, 2016",Biography|Drama,R,Broad Green Pictures,,,,8152,2,10,2 hr 4 min,Limited,2016,17
The Girl in the Photographs,"Apr 1, 2016",Crime|Horror|Mystery|Romance|Thriller,R,Independent,,,,,,,1 hr 35 min,Limited,2016,18
Vaxxed: From Cover-Up to Catastrophe,"Apr 1, 2016",Documentary,,Cinema Libre Studio,,,,28339,1,95,1 hr 31 min,Limited,2016,19
Barbarians,"Apr 1, 2022",Crime|Horror|Thriller,,IFC Films,,,,7538,41,41,1 hr 29 min,Limited,2022,1
Broken Soldier,"Apr 1, 2022",Drama|Thriller,,Vertical Entertainment,,,,,,,1 hr 33 min,Limited,2022,2
Gagarine,"Apr 1, 2022",Drama|Fantasy,,Cohen Media Group,,,,,,,1 hr 38 min,Limited,2022,3
Morbius,"Apr 1, 2022",Action|Adventure|Horror|Sci-Fi|Thriller,PG-13,Columbia Pictures,,,,39005895,4268,4268,1 hr 44 min,Wide,2022,4
The Contractor,"Apr 1, 2022",Action|Drama|Thriller,R,STX Entertainment,,,,560678,489,489,1 hr 43 min,Limited,2022,5
The Nameless Days,"Apr 1, 2022",Horror|Mystery|Thriller,,Vertical Entertainment,,,,,,,1 hr 32 min,Limited,2022,6
The Rose Maker,"Apr 1, 2022",Comedy|Drama,,Music Box Films,,,,8409,6,26,1 hr 35 min,Limited,2022,7
Waterman,"Apr 1, 2022",Biography|Documentary|Sport,,Purdie Distribution,,,,65753,13,44,1 hr 28 min,Limited,2022,8
You Won't Be Alone,"Apr 1, 2022",Drama|Fantasy|Horror,R,Focus Features,,,,124750,147,147,1 hr 48 min,Limited,2022,9
Samaritan's Purse presents Facing Darkness,"Apr 10, 2017",Documentary|Drama,,Fathom Events,,,,,,656,1 hr 33 min,Limited,2017,1
Sauvage/Wild,"Apr 10, 2019",Drama,,Strand Releasing,,,,7440,1,7,1 hr 39 min,Limited,2019,1
The Man Who Killed Don Quixote,"Apr 10, 2019",Adventure|Comedy|Drama|Fantasy,,Screen Media Films,,,,,,756,2 hr 12 min,Wide,2019,2
Trolls World Tour,"Apr 10, 2020",Adventure|Animation|Comedy|Family|Fantasy|Musical,PG,Universal Pictures,,,,,,,1 hr 31 min,Limited,2020,1
Bade Miyan Chote Miyan,"Apr 10, 2024",Action|Adventure|Sci-Fi|Thriller,,Yash Raj Films USA Inc.,,,,493782,567,567,2 hr 43 min,Wide,2024,1
It's Only Life After All,"Apr 10, 2024",Documentary|Music,,Oscilloscope,,,,14150,14,98,2 hr 3 min,Limited,2024,2
SUGA: Agust D Tour 'D-DAY' the Movie,"Apr 10, 2024",Documentary|Music,,Trafalgar Releasing,,,,990881,787,787,1 hr 24 min,Limited,2024,3
Beirut,"Apr 11, 2018",Action|Adventure|Crime|Drama|Mystery|Thriller,R,Bleecker Street Media,,,,1734497,755,755,1 hr 49 min,Wide,2018,1
Hitler's Hollywood,"Apr 11, 2018",Documentary|History,,Kino Lorber,,,,8634,1,6,1 hr 45 min,Limited,2018,2
Navalny,"Apr 11, 2022",Biography|Documentary,R,Fathom Events,,,,,,,1 hr 39 min,Limited,2022,10
Drop,"Apr 11, 2025",Drama|Mystery|Thriller,PG-13,Universal Pictures,,,,7397015,3085,3089,1 hr 35 min,Wide,2025,1
Home Sweet Home: Rebirth,"Apr 11, 2025",Action|Horror|Mystery|Sci-Fi|Thriller,,Vertical Entertainment,,,,,,,1 hr 33 min,Limited,2025,2
One to One: John & Yoko,"Apr 11, 2025",Biography|Documentary|History|Music,R,Magnolia Pictures,,,,134488,95,310,1 hr 41 min,Limited,2025,3
Pink Narcissus,"Apr 11, 2025",Drama|Fantasy,,Strand Releasing,,,,,,,1 hr 5 min,Limited,2025,4
Sacramento,"Apr 11, 2025",Comedy,R,Vertical Entertainment,,,,312415,241,241,1 hr 29 min,Limited,2025,5
The Amateur,"Apr 11, 2025",Action|Thriller,PG-13,20th Century Studios,,,,14802849,3400,3400,2 hr 2 min,Limited,2025,6
The Chosen: Last Supper Part 3,"Apr 11, 2025",Drama|History,,Fathom Entertainment,,,,6049257,2296,2297,3 hr 8 min,Wide,2025,7
The King of Kings,"Apr 11, 2025",Animation|Biography|Family|Fantasy,PG,Angel,,,,19371296,3200,3535,1 hr 43 min,Limited,2025,8
The Teacher,"Apr 11, 2025",Drama|Thriller|War,,Watermelon Pictures,,,,18116,1,53,1 hr 55 min,Limited,2025,9
Unknown Title,"Apr 11, 2025",,,Universal Pictures,,,,,,,,Limited,2025,10
Warfare,"Apr 11, 2025",Action|Drama|War,R,A24,,,,8317989,2670,2670,1 hr 35 min,Wide,2025,11
Yo no soy esa,"Apr 11, 2025",Comedy|Romance,R,Sony Pictures Releasing,,,,482,10,10,1 hr 35 min,Limited,2025,12
Glory,"Apr 12, 2017",Drama,,Film Movement,,,,3716,2,2,1 hr 41 min,Limited,2017,2
The Amendment,"Apr 12, 2018",Action,,Fathom Events,,,,,,541,1 hr 30 min,Limited,2018,3
A Dark Place,"Apr 12, 2019",Mystery|Thriller,,Shout! Factory,,,,,,,1 hr 29 min,Limited,2019,3
After,"Apr 12, 2019",Drama|Romance,PG-13,Aviron Pictures,,,,6002349,2138,2138,1 hr 45 min,Wide,2019,4
Dogman,"Apr 12, 2019",Crime|Drama|Thriller,,Magnolia Pictures,,,,13013,3,12,1 hr 43 min,Limited,2019,5
Girls of the Sun,"Apr 12, 2019",Drama|War,,Cohen Media Group,,,,7801,8,11,1 hr 55 min,Limited,2019,6
Hellboy,"Apr 12, 2019",Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,R,Lionsgate,,,,12045147,3303,3303,2 hr,Wide,2019,7
Her Smell,"Apr 12, 2019",Drama|Music,R,Gunpowder & Sky,,,,36941,3,69,2 hr 16 min,Limited,2019,8
"Iyengar: The Man, Yoga, and the Student's Journey","Apr 12, 2019",Documentary,,Kino Lorber,,,,9248,1,11,1 hr 47 min,Limited,2019,9
Little,"Apr 12, 2019",Comedy|Fantasy|Romance,PG-13,Universal Pictures,,,,15405455,2667,2667,1 hr 49 min,Wide,2019,10
Long Day's Journey Into Night,"Apr 12, 2019",Drama|Mystery|Romance,Not Rated,Kino Lorber,,,,26746,3,24,2 hr 18 min,Limited,2019,11
Made Me Do It,"Apr 12, 2019",Drama|Fantasy|Horror|Thriller,,Indican Pictures,,,,3842,2,2,1 hr 30 min,Limited,2019,12
Mary Magdalene,"Apr 12, 2019",Biography|Drama|History,R,IFC Films,,,,46646,62,62,2 hr,Limited,2019,13
Master Z: The Ip Man Legacy,"Apr 12, 2019",Action|Biography|Crime|Drama,Not Rated,Well Go USA Entertainment,,,,92663,61,61,1 hr 47 min,Limited,2019,14
Mia and the White Lion,"Apr 12, 2019",Adventure|Drama|Family,PG,Ledafilms,,,,192816,312,312,1 hr 38 min,Limited,2019,15
Mine 9,"Apr 12, 2019",Drama|Thriller,Not Rated,Emphatic Films,,,,68921,23,29,1 hr 23 min,Limited,2019,16
Missing Link,"Apr 12, 2019",Adventure|Animation|Comedy|Family|Fantasy,PG,United Artists Releasing,,,,5944950,3413,3437,1 hr 33 min,Wide,2019,17
Penguin Highway,"Apr 12, 2019",Adventure|Animation|Family|Fantasy|Mystery,Not Rated,Eleven Arts,,,,22833,84,168,1 hr 57 min,Wide,2019,18
Rottentail,"Apr 12, 2019",Comedy|Horror,,Ammo Content,,,,2256,3,3,1 hr 46 min,Limited,2019,19
Stockholm,"Apr 12, 2019",Biography|Comedy|Crime|Drama|History,R,Smith Global Media,,,,,,122,1 hr 32 min,Limited,2019,20
Wild Nights with Emily,"Apr 12, 2019",Comedy|History,PG-13,Greenwich Entertainment,,,,30209,3,78,1 hr 24 min,Limited,2019,21
William,"Apr 12, 2019",Adventure|Drama|Family|Sci-Fi,,Uncommon Productions,,,,,,,1 hr 40 min,Limited,2019,22
Beautiful Disaster,"Apr 12, 2023",Comedy|Drama|Romance,R,Fathom Events,,,,,,,1 hr 36 min,Limited,2023,1
Tommy Guns,"Apr 12, 2023",Adventure|Drama|War,,Kino Lorber,,,,695,1,2,2 hr,Limited,2023,2
Arcadian,"Apr 12, 2024",Action|Drama|Horror|Sci-Fi|Thriller,R,RLJ Entertainment,,,,504937,1100,1100,1 hr 32 min,Wide,2024,4
Civil War,"Apr 12, 2024",Action|Thriller|War,R,A24,,,,25537368,3838,3929,1 hr 49 min,Wide,2024,5
Don't Tell Mom the Babysitter's Dead,"Apr 12, 2024",Comedy,R,,,,,,,,1 hr 39 min,Wide,2024,6
Escape from Germany,"Apr 12, 2024",Drama|History|War,PG,Susan Tuckett Media,,,,168019,40,131,1 hr 37 min,Limited,2024,7
"Food, Inc. 2","Apr 12, 2024",Documentary|News,,Magnolia Pictures,,,,23697,129,129,1 hr 34 min,Limited,2024,8
"LaRoy, Texas","Apr 12, 2024",Comedy|Crime|Thriller|Western,,Brainstorm Media,,,,,,,1 hr 52 min,Limited,2024,9
Lost Angel: The Genius of Judee Sill,"Apr 12, 2024",Documentary|Music,,Greenwich Entertainment,,,,9699,6,6,1 hr 31 min,Limited,2024,10
Omen,"Apr 12, 2024",Drama,,Utopia,,,,3087,1,7,1 hr 32 min,Limited,2024,11
Sasquatch Sunset,"Apr 12, 2024",Adventure|Comedy|Drama,R,Bleecker Street Media,,,,91146,9,856,1 hr 28 min,Limited,2024,12
