chart_year,rank,movie_name,release_group_id,imdb_title_id,imdb_id_extraction_status,source_release_group_url
2016,1,Captain America: Civil War,gr2136297989,tt3498820,ok,https://www.boxofficemojo.com/releasegroup/gr2136297989/
2016,2,Rogue One: A Star Wars Story,gr384520709,tt3748528,ok,https://www.boxofficemojo.com/releasegroup/gr384520709/
2016,3,Finding Dory,gr1869238789,tt2277860,ok,https://www.boxofficemojo.com/releasegroup/gr1869238789/
2016,4,Zootopia,gr1680691717,tt2948356,ok,https://www.boxofficemojo.com/releasegroup/gr1680691717/
2016,5,The Jungle Book,gr1103385093,tt3040964,ok,https://www.boxofficemojo.com/releasegroup/gr1103385093/
2016,6,The Secret Life of Pets,gr4228141573,tt2709768,ok,https://www.boxofficemojo.com/releasegroup/gr4228141573/
2016,7,Batman v Superman: Dawn of Justice,gr4182135301,tt2975590,ok,https://www.boxofficemojo.com/releasegroup/gr4182135301/
2016,8,Fantastic Beasts and Where to Find Them,gr3670495749,tt3183660,ok,https://www.boxofficemojo.com/releasegroup/gr3670495749/
2016,9,Deadpool,gr2532200965,tt1431045,ok,https://www.boxofficemojo.com/releasegroup/gr2532200965/
2016,10,Suicide Squad,gr457593349,tt1386697,ok,https://www.boxofficemojo.com/releasegroup/gr457593349/
2016,11,Doctor Strange,gr2284737029,tt1211837,ok,https://www.boxofficemojo.com/releasegroup/gr2284737029/
2016,12,Moana,gr1742623237,tt3521164,ok,https://www.boxofficemojo.com/releasegroup/gr1742623237/
2016,13,Sing,gr3642970629,tt3470600,ok,https://www.boxofficemojo.com/releasegroup/gr3642970629/
2016,14,The Mermaid,gr719016453,tt4701660,ok,https://www.boxofficemojo.com/releasegroup/gr719016453/
2016,15,X-Men: Apocalypse,gr2590724613,tt3385516,ok,https://www.boxofficemojo.com/releasegroup/gr2590724613/
2016,16,Kung Fu Panda 3,gr4045558277,tt2267968,ok,https://www.boxofficemojo.com/releasegroup/gr4045558277/
2016,17,La La Land,gr2781106693,tt3783958,ok,https://www.boxofficemojo.com/releasegroup/gr2781106693/
2016,18,Warcraft,gr2367640069,tt0803096,ok,https://www.boxofficemojo.com/releasegroup/gr2367640069/
2016,19,Jason Bourne,gr2385007109,tt4196776,ok,https://www.boxofficemojo.com/releasegroup/gr2385007109/
2016,20,Ice Age: Collision Course,gr307778053,tt3416828,ok,https://www.boxofficemojo.com/releasegroup/gr307778053/
2016,21,Independence Day: Resurgence,gr131027461,tt1628841,ok,https://www.boxofficemojo.com/releasegroup/gr131027461/
2016,22,Your Name.,gr2548322821,tt5311514,ok,https://www.boxofficemojo.com/releasegroup/gr2548322821/
2016,23,The Legend of Tarzan,gr3509146117,tt0918940,ok,https://www.boxofficemojo.com/releasegroup/gr3509146117/
2016,24,The Angry Birds Movie,gr2707051013,tt1985949,ok,https://www.boxofficemojo.com/releasegroup/gr2707051013/
2016,25,Trolls,gr1984975365,tt1679335,ok,https://www.boxofficemojo.com/releasegroup/gr1984975365/
2016,26,Star Trek Beyond,gr514413061,tt2660888,ok,https://www.boxofficemojo.com/releasegroup/gr514413061/
2016,27,The Great Wall,gr2650231301,tt2034800,ok,https://www.boxofficemojo.com/releasegroup/gr2650231301/
2016,28,Now You See Me 2,gr3775877637,tt3110958,ok,https://www.boxofficemojo.com/releasegroup/gr3775877637/
2016,29,The Conjuring 2,gr2549699077,tt3065204,ok,https://www.boxofficemojo.com/releasegroup/gr2549699077/
2016,30,Resident Evil: The Final Chapter,gr167465477,tt2592614,ok,https://www.boxofficemojo.com/releasegroup/gr167465477/
2016,31,Dangal,gr2867679749,tt5074352,ok,https://www.boxofficemojo.com/releasegroup/gr2867679749/
2016,32,Passengers,gr739594757,tt1355644,ok,https://www.boxofficemojo.com/releasegroup/gr739594757/
2016,33,Alice Through the Looking Glass,gr4233843205,tt2567026,ok,https://www.boxofficemojo.com/releasegroup/gr4233843205/
2016,34,Miss Peregrine's Home for Peculiar Children,gr1911247365,tt1935859,ok,https://www.boxofficemojo.com/releasegroup/gr1911247365/
2016,35,Teenage Mutant Ninja Turtles: Out of the Shadows,gr334385669,tt3949660,ok,https://www.boxofficemojo.com/releasegroup/gr334385669/
2016,36,Sully,gr1762152965,tt3263904,ok,https://www.boxofficemojo.com/releasegroup/gr1762152965/
2016,37,Assassin's Creed,gr1980256773,tt2094766,ok,https://www.boxofficemojo.com/releasegroup/gr1980256773/
2016,38,Hidden Figures,gr319115781,tt4846340,ok,https://www.boxofficemojo.com/releasegroup/gr319115781/
2016,39,Ghostbusters,gr1413698053,tt1289401,ok,https://www.boxofficemojo.com/releasegroup/gr1413698053/
2016,40,Inferno,gr2606649861,tt3062096,ok,https://www.boxofficemojo.com/releasegroup/gr2606649861/
2016,41,Central Intelligence,gr3740422661,tt1489889,ok,https://www.boxofficemojo.com/releasegroup/gr3740422661/
2016,42,Bridget Jones's Baby,gr2030719493,tt1473832,ok,https://www.boxofficemojo.com/releasegroup/gr2030719493/
2016,43,Me Before You,gr2919649797,tt2674426,ok,https://www.boxofficemojo.com/releasegroup/gr2919649797/
2016,44,London Has Fallen,gr1326993925,tt3300542,ok,https://www.boxofficemojo.com/releasegroup/gr1326993925/
2016,45,Arrival,gr3034927621,tt2543164,ok,https://www.boxofficemojo.com/releasegroup/gr3034927621/
2016,46,The BFG,gr554127877,tt3691740,ok,https://www.boxofficemojo.com/releasegroup/gr554127877/
2016,47,The Monkey King 2,gr3353956869,tt4591310,ok,https://www.boxofficemojo.com/releasegroup/gr3353956869/
2016,48,Bad Moms,gr2399425029,tt4651520,ok,https://www.boxofficemojo.com/releasegroup/gr2399425029/
2016,49,Storks,gr2205110789,tt4624424,ok,https://www.boxofficemojo.com/releasegroup/gr2205110789/
2016,50,From Vegas to Macau III,gr2104709637,tt5237980,ok,https://www.boxofficemojo.com/releasegroup/gr2104709637/
2016,51,Hacksaw Ridge,gr197153285,tt2119532,ok,https://www.boxofficemojo.com/releasegroup/gr197153285/
2016,52,The Divergent Series: Allegiant,gr3223671301,tt3410834,ok,https://www.boxofficemojo.com/releasegroup/gr3223671301/
2016,53,Operation Mekong,gr3488698885,tt6044910,ok,https://www.boxofficemojo.com/releasegroup/gr3488698885/
2016,54,The Girl on the Train,gr3160101381,tt3631112,ok,https://www.boxofficemojo.com/releasegroup/gr3160101381/
2016,55,The Huntsman: Winter's War,gr1815237125,tt2381991,ok,https://www.boxofficemojo.com/releasegroup/gr1815237125/
2016,56,The Magnificent Seven,gr1925796357,tt2404435,ok,https://www.boxofficemojo.com/releasegroup/gr1925796357/
2016,57,Jack Reacher: Never Go Back,gr469127685,tt3393786,ok,https://www.boxofficemojo.com/releasegroup/gr469127685/
2016,58,Don't Breathe,gr3640939013,tt4160708,ok,https://www.boxofficemojo.com/releasegroup/gr3640939013/
2016,59,The Accountant,gr2155565573,tt2140479,ok,https://www.boxofficemojo.com/releasegroup/gr2155565573/
2016,60,Lights Out,gr3545780741,tt4786282,ok,https://www.boxofficemojo.com/releasegroup/gr3545780741/
2016,61,Time Raiders,gr2766492165,tt5354664,ok,https://www.boxofficemojo.com/releasegroup/gr2766492165/
2016,62,Pete's Dragon,gr2269860357,tt2788732,ok,https://www.boxofficemojo.com/releasegroup/gr2269860357/
2016,63,Sausage Party,gr417878533,tt1700841,ok,https://www.boxofficemojo.com/releasegroup/gr417878533/
2016,64,Lion,gr3746517509,tt3741834,ok,https://www.boxofficemojo.com/releasegroup/gr3746517509/
2016,65,Skiptrace,gr3027587589,tt2238032,ok,https://www.boxofficemojo.com/releasegroup/gr3027587589/
2016,66,Mechanic: Resurrection,gr2020168197,tt3522806,ok,https://www.boxofficemojo.com/releasegroup/gr2020168197/
2016,67,Deepwater Horizon,gr15290885,tt1860357,ok,https://www.boxofficemojo.com/releasegroup/gr15290885/
2016,68,Allied,gr4258222597,tt3640424,ok,https://www.boxofficemojo.com/releasegroup/gr4258222597/
2016,69,I Belonged to You,gr2708689413,tt6074202,ok,https://www.boxofficemojo.com/releasegroup/gr2708689413/
