collected_at,collection_status,collection_note,chart_year,rank,movie_name,worldwide_gross_usd,domestic_gross_usd,domestic_share_pct,foreign_gross_usd,foreign_share_pct,domestic_release_date_from_group,domestic_opening_gross_from_group_usd,domestic_total_gross_from_group_usd,open_date,genre,rating,distributor,opening_gross_usd,opening_theaters,widest_release_theaters,running_time,source_chart_url,source_release_group_url,source_domestic_release_url
2026-04-14T16:06:15.862Z,success,,2016,1,Captain America: Civil War,1153296293,408084349,35.4,745211944,64.6,"May 6, 2016",179139142,408084349,"May 6, 2016",Action|Sci-Fi,PG-13,Walt Disney Studios Motion Pictures,179139142,4226,4226,2 hr 27 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2136297989/,https://www.boxofficemojo.com/release/rl3210970625/
2026-04-14T16:06:15.862Z,success,,2016,2,Rogue One: A Star Wars Story,1056057273,532177324,50.4,523879949,49.6,"Dec 16, 2016",155081681,532177324,"Dec 16, 2016",Action|Adventure|Sci-Fi,PG-13,Walt Disney Studios Motion Pictures,155081681,4157,4157,2 hr 13 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr384520709/,https://www.boxofficemojo.com/release/rl2557707777/
2026-04-14T16:06:15.862Z,success,,2016,3,Finding Dory,1028570889,486295561,47.3,542275328,52.7,"Jun 17, 2016",135060273,486295561,"Jun 17, 2016",Adventure|Animation|Comedy|Family|Fantasy|Mystery,PG,Walt Disney Studios Motion Pictures,135060273,4305,4305,1 hr 37 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr1869238789/,https://www.boxofficemojo.com/release/rl3764946433/
2026-04-14T16:06:15.862Z,success,,2016,4,Zootopia,1023784195,341268248,33.3,682515947,66.7,"Mar 4, 2016",75063401,341268248,"Mar 4, 2016",Action|Adventure|Animation|Comedy|Crime|Family|Mystery,PG,Walt Disney Studios Motion Pictures,75063401,3827,3959,1 hr 48 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr1680691717/,https://www.boxofficemojo.com/release/rl4031743489/
2026-04-14T16:06:15.862Z,success,,2016,5,The Jungle Book,966550600,364001123,37.7,602549477,62.3,"Apr 15, 2016",103261464,364001123,"Apr 15, 2016",Action|Adventure|Animation|Drama|Family|Fantasy|Musical,PG,Walt Disney Studios Motion Pictures,103261464,4028,4144,1 hr 46 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr1103385093/,https://www.boxofficemojo.com/release/rl2455602689/
2026-04-14T16:06:15.862Z,success,,2016,6,The Secret Life of Pets,875697467,368623860,42.1,507073607,57.9,"Jul 8, 2016",104352905,368623860,"Jul 8, 2016",Adventure|Animation|Comedy|Family,PG,Universal Pictures,104352905,4370,4381,1 hr 26 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr4228141573/,https://www.boxofficemojo.com/release/rl2069595649/
2026-04-14T16:06:15.862Z,success,,2016,7,Batman v Superman: Dawn of Justice,874360194,330360194,37.8,544000000,62.2,"Mar 25, 2016",166007347,330360194,"Mar 25, 2016",Action|Adventure|Sci-Fi,PG-13,Warner Bros.,166007347,4242,4256,2 hr 31 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr4182135301/,https://www.boxofficemojo.com/release/rl2238875137/
2026-04-14T16:06:15.862Z,success,,2016,8,Fantastic Beasts and Where to Find Them,816037575,234037575,28.7,582000000,71.3,"Nov 18, 2016",74403387,234037575,"Nov 18, 2016",Adventure|Family|Fantasy,PG-13,Warner Bros.,74403387,4144,4144,2 hr 12 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr3670495749/,https://www.boxofficemojo.com/release/rl3696264705/
2026-04-14T16:06:15.862Z,success,,2016,9,Deadpool,782612155,363070709,46.4,419541446,53.6,"Feb 12, 2016",132434639,363070709,"Feb 12, 2016",Action|Comedy|Sci-Fi,R,Twentieth Century Fox,132434639,3558,3856,1 hr 48 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2532200965/,https://www.boxofficemojo.com/release/rl2588706305/
2026-04-14T16:06:15.862Z,success,,2016,10,Suicide Squad,749200054,325100054,43.4,424100000,56.6,"Aug 5, 2016",133682248,325100054,"Aug 5, 2016",Action|Adventure|Fantasy|Sci-Fi,PG-13,Warner Bros.,133682248,4255,4255,2 hr 3 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr457593349/,https://www.boxofficemojo.com/release/rl1145865729/
2026-04-14T16:06:15.862Z,success,,2016,11,Doctor Strange,677718395,232641920,34.3,445076475,65.7,"Nov 4, 2016",85058311,232641920,"Nov 4, 2016",Action|Adventure|Fantasy|Sci-Fi,PG-13,Walt Disney Studios Motion Pictures,85058311,3882,3882,1 hr 55 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr2284737029/,https://www.boxofficemojo.com/release/rl3076752897/
2026-04-14T16:06:15.862Z,success,,2016,12,Moana,643331111,248757044,38.7,394574067,61.3,"Nov 23, 2016",56631401,248757044,"Nov 23, 2016",Adventure|Animation|Comedy|Family|Fantasy|Musical,PG,Walt Disney Studios Motion Pictures,56631401,3875,3875,1 hr 47 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr1742623237/,https://www.boxofficemojo.com/release/rl4249847297/
2026-04-14T16:06:15.862Z,success,,2016,13,Sing,634151679,270395425,42.6,363756254,57.4,"Dec 21, 2016",35258145,270395425,"Dec 21, 2016",Animation|Comedy|Family|Musical,PG,Universal Pictures,35258145,4022,4029,1 hr 48 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr3642970629/,https://www.boxofficemojo.com/release/rl2103150081/
2026-04-14T16:06:15.862Z,success,,2016,14,The Mermaid,553810228,3232685,0.6,550577543,99.4,"Feb 19, 2016",985052,3232685,"Feb 19, 2016",Comedy|Drama|Fantasy|Romance,R,Sony Pictures Releasing,985052,35,106,1 hr 34 min,https://www.boxofficemojo.com/year/world/2016/,https://www.boxofficemojo.com/releasegroup/gr719016453/,https://www.boxofficemojo.com/release/rl1669301761/
