genre,movie_count,total_worldwide_gross_usd,average_worldwide_gross_usd,average_domestic_gross_usd,average_opening_gross_usd,average_budget_usd,budget_count,average_widest_release_theaters
Adventure,992,220376444596,232464604,87672568,22142692,104261477,260,1785
Sci-Fi,619,115279497521,203674024,89058366,23949341,99181207,145,1790
Fantasy,799,146784579491,190135466,74024549,17782501,94091238,185,1541
Family,583,96708313256,174563742,69822859,17094667,91515800,130,1647
Action,1216,175336307480,152466354,59990436,16190218,89989686,255,1537
Animation,509,74437790676,149774227,50504533,12076813,92535135,74,1419
Musical,224,27364061872,131557990,63250606,12565725,83901102,49,1424
Comedy,1867,111819703236,65506563,28663815,6700108,55501786,224,1006
Mystery,783,44244058780,60858403,24784983,8047207,40766087,115,1055
Thriller,1689,78385771401,51603536,21319292,6496027,45608923,209,1085
War,286,13409956164,49483233,16456752,2389688,59642857,28,544
Crime,829,35493428972,46396639,18181254,5503813,38843229,96,925
Romance,992,42744930597,45716503,20337545,3524397,42677857,98,673
Horror,857,29426189043,38465607,21944322,6958631,22084152,112,1158
Sport,222,7605327802,36919067,16380755,4364943,38002500,12,934
Drama,3873,122085867749,34026162,13603285,2825041,42496414,297,615
History,519,13727911117,27510844,8537350,1701495,45020000,25,541
Music,409,9511028003,25705481,11707212,2518981,37491304,23,556
Biography,692,14178789555,21614008,10242695,1844164,29260417,48,638
Western,93,1568311575,20106559,11603640,2196591,52142857,7,796
Documentary,1227,1014855647,966529,616017,154544,4569167,6,118
Film-Noir,5,1089398,217880,196212,49364,,0,174
Adult,1,20324,20324,20324,7805,,0,5
